"title","writer","page","price"
"회사에서 바로 통하는 오토캐드 2019","심미현 ",656,25200
"처음 배우는 암호화","장필리프 오마송 ",404,26100
"나의 첫 안드로이드 : 처음 시작하는 개발자를 위한","한동호 ",600,28800
"Head First Android Development : 개념과 구조를 머릿속에 그려주는 안드로이드 개발 입문서(개정판)","돈 그리피스 , 데이비드 그리피스 ",936,36000
"윤피티의 SNS 콘텐츠 만들기 with 파워포인트","윤상림(윤피티) ",352,16200
"그것이 R고 싶다","양중기 ",388,28800
"Hello Coding 한입에 쏙 파이썬","김왼손 , 김태간 ",224,13500
"머신러닝 실무 프로젝트","아리가 미치아키(有賀 康<U+9855>) , 나카야마 신타(中山 心太) , 니시바야시 다카시(西林 孝) ",228,16200
"좋은 사진을 만드는 박승근의 드론 사진 강의","박승근 ",400,25200
"엔지니어를 위한 블록체인 프로그래밍","다고모리 데루히로 ",280,0
"우아한 사이파이","스테판 판데르발트 , 해리엇 대시나우 ",304,25200
"인공지능 콘텐츠 혁명","고찬수 ",316,16200
"자바로 배우는 핵심 자료구조와 알고리즘","앨런 B. 다우니 ",184,14400
"처음 배우는 블록체인","가사키 나가토 , 시노하라 와타루 ",344,25200
"파이썬을 활용한 금융공학 레시피","김용환 ",400,25200
"러닝 텐서플로","톰 호프 , 예헤즈켈 레셰프 , 이타이 리더 ",288,20700
"엑셀 2016 함수&수식 바이블","최준선 ",836,31500
"달인과 함께 하는 마인크래프트 세계 건축 여행: 유럽과 아메리카","히류 , 돈보코 , 하야시 ",96,9000
"자바 프로젝트 필수 유틸리티","쇼다 츠야노 , 전민수 ",564,31500
"짧은 애니메이션 만들기 with 클립 스튜디오","요시베 나오키(吉邊<U+5C1A>希) ",332,22500
"Vue.js 첫걸음","이지호 ",360,0
"파이썬 정복","김상형 ",508,19800
"데이터 분석을 위한 SQL 레시피","가사키 나가토 , 다미야 나오토 ",600,32400
"9가지 사례로 익히는 고급 스파크 분석(2판)","샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ",332,23400
"로고를 활용한 디자인 실무 강의 with 일러스트레이터+포토샵","장보경(앤하우스) ",344,22500
"Hello Coding HTML5+CSS3","황재호 ",288,17820
"이것이 오라클이다","우재남 ",616,27000
"딥러닝의 정석","니킬 부두마 ",304,22500
"처음 배우는 데이터 과학","필드 케이디 ",420,25200
"러닝 리액트","알렉스 뱅크스 , 이브 포셀로 ",420,25200
"신프로의 쉽고 빠른 파워포인트 디자인","신프로(신강식) ",290,16200
"회사에서 바로 통하는 엑셀+파워포인트+워드 2016&한글 NEO&윈도우 10","전미진 , 이화진 , 신면철 , 박광수 ",844,17820
"처음 배우는 딥러닝 수학","와쿠이 요시유키 , 와쿠이 사다미 ",268,22500
"함수형 자바스크립트","루이스 아텐시오 ",320,24300
"러닝 HTTP/2","스티븐 루딘 , 하비에르 가르사 ",172,14400
"테트리스 이펙트","댄 애커먼 ",288,16200
"Hello Coding 프로그래밍","Pope Kim ",352,17820
"프로그래머 첫걸음","코리 알트호프 ",404,17820
"회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO&윈도우 10","전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",698,16920
"코딩셰프의 3분 딥러닝, 케라스맛","김성진(코딩셰프) ",384,27000
"강화학습 첫걸음","아서 줄리아니 ",180,16200
"회사에서 바로 통하는 실무의 기술","이현지 ",356,17820
"쇼핑몰 디자인 제작 북","임화연 , 이해령 ",416,22500
"Head First Python, 개정판","폴 배리 ",624,28800
"만들면서 배우는 유니티 VR 게임 개발","김광일 , 김도윤 ",364,27000
"이펙티브 C#(3판)","빌 와그너 ",300,22500
